Model,Accuracy,Precision,Recall,F1-Score,CV Mean,CV Std
Logistic Regression,0.9984871406959153,0.9985037655234328,0.9984871406959153,0.9984906569120191,0.9967186808719255,0.001831052264926339
SVM,0.9969742813918305,0.9970400578833124,0.9969742813918305,0.9969882520802181,0.9932187825088784,0.003623158622544768
XGBoost,0.9924357034795764,0.9924151636380094,0.9924357034795764,0.9923815088305366,0.9945319319391135,0.0021879467397185656
Gradient Boosting,0.9909228441754917,0.9908751997883966,0.9909228441754917,0.9908797834948204,0.9923454221520729,0.003722834584120149
Random Forest,0.989409984871407,0.9893451843977908,0.989409984871407,0.9893341123627513,0.993657854144994,0.002798696304557887
AdaBoost,0.9878971255673222,0.9878203785004522,0.9878971255673222,0.9878397113264271,0.9912527651229807,0.0046359221423422255
K-Nearest Neighbors,0.983358547655068,0.9847096470109159,0.983358547655068,0.983688676916061,0.9890636247324558,0.0022960191590089803
Decision Tree,0.9757942511346445,0.9754547037917841,0.9757942511346445,0.9753155206515237,0.9838172448015688,0.007859876058472883
Naive Bayes,0.962178517397882,0.970400578833125,0.962178517397882,0.9640614568990028,0.9728768040559123,0.005110937274281013
